"1,2-dichloroethane",                     "C2H4Cl2",  "107-06-2",    0.14,      13, 25, "ethylene dichloride"
"hexachlorobenzene",                      "C6Cl6",    "118-74-1",    0.131,     11, 25, "perchlorobenzene"
"1,2,4,5-tetrachlorobenzene",             "C6H2Cl4",  "95-94-3",     0.122,     11, 25, ""
"1-chloro-2-methylpropene",               "C4H7Cl",   "513-37-1",    0.12,      5,  25, "dimethylvinyl chloride"
"1,1,2-trichloroethane",                  "C2H3Cl3",  "79-00-5",     0.092,     13, 25, "vinyl trichloride"
"diethyl ether",                          "C4H10O",   "60-29-7",     0.088,     13, 25, "ethyl ether"
"dibromomethane",                         "CH2Br2",   "74-95-3",     0.086,     13, 20, "methylene bromide"
"pentachlorobenzene",                     "C6HCl5",   "608-93-5",    0.085,     11, 25, ""
"2-ethylnaphthalene",                     "C12H12",   "939-27-5",    0.078,     12, 25, ""
"iodobenzene",                            "C6H5I",    "591-50-4",    0.078,     11, 25, ""
"dimethyl ether",                         "C2H6O",    "115-10-6",    0.077,     13, 24, "methyl ether"
"2-chlorobiphenyl",                       "C12H9Cl",  "2051-60-7",   0.0701,    7,  25, ""
"methyl tert-butyl ether",                "C5H12O",   "1634-04-4",   0.070,     13, 0,  "tert-butyl methyl ether"
"1,2-dibromoethane",                      "C2H4Br2",  "106-93-4",    0.066,     13, 50, "ethylene dibromide"
"2-methylnaphthalene",                    "C11H10",   "91-57-6",     0.051,     12, 25, ""
"2,4,6-trichlorobiphenyl",                "C12H7Cl3", "35693-92-6",  0.0495,    7,  25, ""
"tribromomethane",                        "CHBr3",    "75-25-2",     0.047,     13, 25, "bromoform"
"1-methylnaphthalene",                    "C11H10",   "90-12-0",     0.045,     22, 25, ""
"naphthalene",                            "C10H8",    "91-20-3",     0.043,     22, 25, ""
"2,2',4,5,5'-pentachlorobiphenyl",        "C12H5Cl5", "37680-73-2",  0.0421,    31, 25, ""
"trans-stilbene",                         "C14H12",   "103-30-0",    0.040,     12, 25, "trans-1,2-diphenylethene"
"1-ethylnaphthalene",                     "C12H12",   "1127-76-0",   0.039,     12, 25, ""
"2,2',3,3',5,5',6,6'-octachlorobiphenyl", "C12H2Cl8", "2136-99-4",   0.0381,    7,  25, ""
"1,2,3-trichloropropane",                 "C3H5Cl3",  "96-18-4",     0.038,     13, 25, ""
"2,4,5-trichlorobiphenyl",                "C12H7Cl3", "15862-07-4",  0.0379,    31, 25, ""
"1-chloronaphthalene",                    "C10H7Cl",  "90-13-1",     0.0363,    28, 25, "1-naphthyl chloride"
