,wt,logp,fraction_sp3,ali_homo_rings,ali_hetero_rings,amide_bonds,aro_homo_rings,aro_hetero_rings,hba,hbd,tpsa,asph,ecce,isf,npr1,npr2,pmi1,pmi2,pmi3,rog,si
816,328.0307059840002,4.314100000000002,0.07692307692307693,0,0,0,2,0,5,0,95.51,0.5481024550263472,0.9824251411107142,0.0010922754527902929,0.1866570173167713,0.9656018500183856,884.0277858041112,4573.1946096162565,4736.107961608794,3.9406915290392655,0.2811248378171147
532,88.052429496,-0.043800000000000006,0.75,0,0,0,0,0,2,1,37.3,0.13058319964979878,0.8477061987272304,0.008998226777534365,0.5304660221347162,0.9564300006806415,106.29094201854693,191.64252092536012,200.3727620306536,1.6816298820803426,0.4977005425455153
641,116.094963004,1.3997,1.0,0,0,0,0,0,2,0,32.67,0.5224380692676145,0.980288291537146,0.0077616940055242065,0.1975724309593407,0.9149588875924459,117.88133968451284,545.9090567542057,596.6487283277501,2.3292181243698864,0.3063234279355912
361,58.005479304000005,-0.6158000000000001,0.0,0,0,0,0,0,2,0,34.14,0.7759010294457803,0.9966887653376508,0.09969939994863257,0.0813111619011151,0.9186888380990026,9.214587435554602,104.11041272570023,113.32500016124149,1.397378729165421,1.704141369780947e-13
325,92.047344116,-1.6681,1.0,0,0,0,0,0,3,3,60.69,0.20375502210759006,0.9025635068914838,0.0071031779007222125,0.4305567512276941,0.7659955030046184,107.83842298624336,191.85333135071068,250.462738486278,1.7282702967036907,0.4884191580599744
618,55.04219916,0.9199799999999999,0.6666666666666666,0,0,0,0,0,1,0,23.79,0.6117134245795394,0.9883539128847172,0.04980655843261912,0.15217274028375988,0.9007747220912066,18.08546405208505,107.05550038087877,118.84825112803179,1.4882412976865536,0.38685422793297497
35,114.140850576,3.0786000000000016,1.0,0,0,0,0,0,0,0,0.0,0.1137599804586638,0.8368614413022115,0.003570281050996717,0.5474147678512019,0.7768197323010698,217.5794345613785,308.76039163804796,397.4672357040264,2.0108596090528668,0.5395937825036122
194,120.093900384,2.5574200000000005,0.3333333333333333,0,0,0,1,0,0,0,0.0,0.2509988938637754,0.9176499607248132,0.003366115513049074,0.3973896696968217,0.6865224339132949,203.95094323172336,352.3415645232482,513.2265853496457,2.1092889246095274,0.20346481698009616
810,564.0005074000002,6.648800000000003,1.0,0,0,0,0,0,1,1,20.23,0.5319681157678502,0.9805257836834196,0.0005952563282931173,0.1963903957224372,0.9790420304056467,1644.7402301677762,8199.330769255843,8374.850634204755,4.0184366218267815,0.1797734608497162
734,123.0320284,1.5948,0.0,0,0,0,1,0,2,0,43.14,0.4474613045190406,0.9699146872234748,0.005903141319472086,0.24344506466180202,0.7565549354513624,128.16141347587129,398.2875973858547,526.4490108021506,2.0679009251395137,1.0306859681054944e-10
796,112.013599376,1.1377,0.6666666666666666,0,0,0,0,0,1,0,17.07,0.11869936682135873,0.8447130867445417,0.005954893566490183,0.5352193952787103,0.8250663907079253,138.55266790170685,213.58558870813454,258.87079041587594,1.6512122127834823,0.3666310819064082
204,104.06260025600001,2.3296,0.0,0,0,0,1,0,0,0,0.0,0.47052491354971104,0.9734556205249087,0.00790358811877608,0.2288758503391404,0.7711241499043286,97.56633801202456,328.7186452713078,426.28498317954524,2.0230946890960038,6.055307904091195e-10
23,114.140850576,3.2227000000000023,1.0,0,0,0,0,0,0,0,0.0,0.606110441557121,0.9876404410519366,0.008347233968460712,0.15673659176700375,0.9597367511983604,114.97662037803673,704.0301620786839,733.5659087761385,2.606856248992286,0.27530186398420925
249,228.09390038400002,5.146200000000003,0.0,0,0,0,4,0,0,0,0.0,0.5670187174482064,0.9845815289170406,0.0019610305383000546,0.17492630709925397,0.8250736929026945,420.7347498106382,1984.476660573342,2405.2114103792937,3.2458569730866644,1.7930284470881691e-12
578,121.089149352,1.7526,0.25,0,0,0,1,0,1,0,3.24,0.4216038592888439,0.9659132675512848,0.005257201544058889,0.2588659104022767,0.7564927668057553,143.89647428690657,420.51362343435767,555.872629436962,2.149948081121318,0.0707962075786883
858,120.070578096,2.8039000000000014,1.0,0,0,0,0,0,0,0,0.0,0.2969086479934607,0.9397311180959724,0.00501205975903926,0.3419143543083466,0.8395616673936313,167.50831150396402,411.31223517376253,489.91307148485777,2.104770144507586,0.30368219576214545
801,126.02924944,1.7088,0.5,0,0,0,0,0,1,0,9.23,0.5289210773978126,0.9801064378558816,0.00946747130232412,0.1984725937590756,0.9837903163419094,103.91268005221242,515.0750864101464,523.561858512069,2.1286516958408352,0.1695187209168684
932,315.93801097600016,6.187900000000003,0.0,0,0,0,2,0,0,0,0.0,0.2488071526026185,0.9235306895796712,0.0006837100002959128,0.3835245303816916,0.8553025309858583,1250.9726793752898,2789.808771290325,3261.780095605086,3.3883523876769788,0.4593974185448502
1086,142.018542524,2.3486,0.14285714285714285,0,0,0,1,0,1,0,9.23,0.2463082697834519,0.8672702579069681,0.001559669430265152,0.4978376238794946,0.5072036038963453,325.19942627209025,331.31750811616763,653.223884000393,2.1430917453077347,0.04761256319653927
545,73.08914935199999,0.7452000000000001,1.0,0,0,0,0,0,1,1,26.02,0.5730318727205773,0.985188763367762,0.022779404770871026,0.1714733230969172,0.9210454885657464,40.433255294867294,217.18169744873936,235.79910020180992,1.8366070639148653,0.28651121753017283
